run,fold,AUPRC,AUROC,Accuracy,Precision,Recall,F1_Score
1,1,0.30614936491398026,0.8480544077134986,0.7443037974683544,0.2,0.71875,0.3129251700680273
1,2,0.3016257559199648,0.8106060606060606,0.7569620253164557,0.19230769230769232,0.625,0.29411764705882354
1,3,0.3890559475478707,0.8665633608815426,0.6708860759493671,0.1858974358974359,0.90625,0.30851063829787234
1,4,0.24248191385038442,0.7653236914600551,0.6835443037974683,0.15037593984962405,0.625,0.2424242424242424
1,5,0.37805575534605607,0.8447830578512396,0.7189873417721518,0.20300751879699247,0.84375,0.32727272727272727
2,1,0.2251380827962682,0.756112258953168,0.7341772151898734,0.17117117117117117,0.59375,0.26573426573426573
2,2,0.32951967559446743,0.8211949035812672,0.7063291139240506,0.1865671641791045,0.78125,0.30120481927710846
2,3,0.43415952565789745,0.8381542699724518,0.6810126582278481,0.1736111111111111,0.78125,0.28409090909090906
2,4,0.28146661473611845,0.8508953168044077,0.739240506329114,0.2204724409448819,0.875,0.3522012578616352
2,5,0.34511815717394456,0.8509814049586777,0.7113924050632912,0.19852941176470587,0.84375,0.32142857142857145
3,1,0.29148037275818356,0.8358298898071626,0.6911392405063291,0.18309859154929578,0.8125,0.2988505747126437
3,2,0.3034799801740029,0.8239497245179064,0.7037974683544304,0.18518518518518517,0.78125,0.29940119760479045
3,3,0.21773709783481482,0.762741046831956,0.6784810126582278,0.16312056737588654,0.71875,0.26589595375722547
3,4,0.2365919984907978,0.7981232782369145,0.7316455696202532,0.1864406779661017,0.6875,0.29333333333333333
3,5,0.38697776889059504,0.8768939393939394,0.7569620253164557,0.23333333333333334,0.875,0.3684210526315789
4,1,0.17282642325169514,0.7667011019283747,0.7139240506329114,0.18604651162790697,0.75,0.2981366459627329
4,2,0.3595824125839212,0.8527892561983471,0.7113924050632912,0.2028985507246377,0.875,0.32941176470588235
4,3,0.28822037731255234,0.8301480716253443,0.7215189873417721,0.20454545454545456,0.84375,0.32926829268292684
4,4,0.38238745742735847,0.8385847107438016,0.7468354430379747,0.211864406779661,0.78125,0.3333333333333333
4,5,0.49487568234122425,0.8521866391184574,0.7113924050632912,0.19402985074626866,0.8125,0.3132530120481928
5,1,0.24479718231393996,0.8391012396694215,0.7265822784810126,0.21212121212121213,0.875,0.3414634146341463
5,2,0.4214315106831102,0.8398760330578513,0.6683544303797468,0.17647058823529413,0.84375,0.29189189189189185
5,3,0.42190972660590037,0.8541666666666667,0.7443037974683544,0.21951219512195122,0.84375,0.34838709677419355
5,4,0.2754959168346668,0.7671315426997245,0.7417721518987341,0.16981132075471697,0.5625,0.2608695652173913
5,5,0.2391270159805493,0.8092286501377411,0.739240506329114,0.2066115702479339,0.78125,0.32679738562091504
6,1,0.3383081755411246,0.8278236914600551,0.7367088607594937,0.1896551724137931,0.6875,0.2972972972972973
6,2,0.3494244511894436,0.8272210743801653,0.7012658227848101,0.1791044776119403,0.75,0.2891566265060241
6,3,0.3572236895919444,0.8599345730027548,0.7518987341772152,0.225,0.84375,0.35526315789473684
6,4,0.30082345301571983,0.8381542699724518,0.7772151898734178,0.23076923076923078,0.75,0.3529411764705882
6,5,0.23982846003227512,0.8005337465564739,0.6936708860759494,0.17037037037037037,0.71875,0.2754491017964072
7,1,0.3097090765367849,0.8105199724517906,0.6936708860759494,0.17037037037037037,0.71875,0.2754491017964072
7,2,0.2663779189931171,0.8069903581267217,0.739240506329114,0.19130434782608696,0.6875,0.2993197278911565
7,3,0.29468652223539177,0.8742252066115702,0.8050632911392405,0.2727272727272727,0.84375,0.41221374045801523
7,4,0.3788462827361199,0.8255853994490359,0.7240506329113924,0.18181818181818182,0.6875,0.2875816993464052
7,5,0.42408867433368763,0.8692320936639119,0.7063291139240506,0.1956521739130435,0.84375,0.3176470588235294
8,1,0.42056318246940766,0.8978994490358128,0.779746835443038,0.24770642201834864,0.84375,0.3829787234042553
8,2,0.19085040507229137,0.7703168044077136,0.660759493670886,0.16447368421052633,0.78125,0.27173913043478265
8,3,0.3250208217039638,0.8316115702479339,0.7468354430379747,0.20689655172413793,0.75,0.32432432432432434
8,4,0.2786239578362888,0.8037190082644629,0.739240506329114,0.19130434782608696,0.6875,0.2993197278911565
8,5,0.34005864241446654,0.8380681818181819,0.7265822784810126,0.1935483870967742,0.75,0.30769230769230765
9,1,0.2841127651729393,0.7768595041322315,0.6683544303797468,0.14893617021276595,0.65625,0.24277456647398843
9,2,0.23415708398424057,0.8192148760330579,0.6886075949367089,0.19047619047619047,0.875,0.3128491620111732
9,3,0.31406608455763474,0.8520144628099173,0.7265822784810126,0.21212121212121213,0.875,0.3414634146341463
9,4,0.4452152529501683,0.8607093663911846,0.7139240506329114,0.2,0.84375,0.3233532934131737
9,5,0.3407857716473227,0.853047520661157,0.8,0.25263157894736843,0.75,0.37795275590551186
10,1,0.29924836485466755,0.831267217630854,0.7670886075949367,0.2222222222222222,0.75,0.34285714285714286
10,2,0.36652091411422294,0.8482265840220387,0.6506329113924051,0.1728395061728395,0.875,0.288659793814433
10,3,0.21330084255926762,0.7722107438016529,0.7341772151898734,0.1826086956521739,0.65625,0.2857142857142857
10,4,0.34737530807689904,0.8507231404958677,0.8379746835443038,0.2948717948717949,0.71875,0.41818181818181815
10,5,0.30414930013910785,0.8056129476584021,0.7670886075949367,0.2169811320754717,0.71875,0.3333333333333333
11,1,0.3204370709660379,0.7879648760330579,0.7316455696202532,0.19166666666666668,0.71875,0.3026315789473684
11,2,0.3195569146030587,0.8637224517906337,0.7291139240506329,0.2047244094488189,0.8125,0.3270440251572327
11,3,0.4174686076151542,0.8346246556473829,0.6835443037974683,0.1793103448275862,0.8125,0.29378531073446323
11,4,0.22041806456568763,0.7791838842975206,0.7417721518987341,0.1875,0.65625,0.2916666666666667
11,5,0.40510108766871816,0.8638085399449036,0.6784810126582278,0.1895424836601307,0.90625,0.31351351351351353
12,1,0.295153947866738,0.8007059228650137,0.7063291139240506,0.17692307692307693,0.71875,0.28395061728395066
12,2,0.38717566449264723,0.8483987603305785,0.769620253164557,0.21359223300970873,0.6875,0.3259259259259259
12,3,0.3427393609561643,0.806129476584022,0.6911392405063291,0.17857142857142858,0.78125,0.29069767441860467
12,4,0.349340346202233,0.8548984159779615,0.6987341772151898,0.18248175182481752,0.78125,0.2958579881656805
12,5,0.29803368943116026,0.8211949035812672,0.7746835443037975,0.21782178217821782,0.6875,0.3308270676691729
13,1,0.25624688012217334,0.8019111570247934,0.7443037974683544,0.20512820512820512,0.75,0.32214765100671144
13,2,0.30181964532875083,0.822141873278237,0.7164556962025317,0.19230769230769232,0.78125,0.308641975308642
13,3,0.27836004463167224,0.8014807162534435,0.7265822784810126,0.17796610169491525,0.65625,0.27999999999999997
13,4,0.39891333303416876,0.8774965564738292,0.6987341772151898,0.1958041958041958,0.875,0.32
13,5,0.3348539397294241,0.8214531680440772,0.6987341772151898,0.17293233082706766,0.71875,0.2787878787878788
14,1,0.349228820343674,0.7866735537190083,0.739240506329114,0.18584070796460178,0.65625,0.28965517241379307
14,2,0.27603812937115624,0.8513257575757576,0.7670886075949367,0.2169811320754717,0.71875,0.3333333333333333
14,3,0.38346433491906706,0.8401342975206612,0.7417721518987341,0.21311475409836064,0.8125,0.3376623376623376
14,4,0.31458864720236096,0.8372933884297521,0.7417721518987341,0.20833333333333334,0.78125,0.32894736842105265
14,5,0.37960035983515106,0.8419421487603305,0.7265822784810126,0.203125,0.8125,0.325
15,1,0.2710078207250227,0.8334194214876033,0.8177215189873418,0.26744186046511625,0.71875,0.38983050847457623
15,2,0.29065061931468034,0.84375,0.7316455696202532,0.2109375,0.84375,0.3375
15,3,0.2881484662992687,0.8324724517906336,0.7569620253164557,0.21929824561403508,0.78125,0.3424657534246575
15,4,0.2063172041378164,0.7469869146005509,0.660759493670886,0.1554054054054054,0.71875,0.25555555555555554
15,5,0.32623643769544647,0.8151687327823692,0.7417721518987341,0.19827586206896552,0.71875,0.31081081081081086
16,1,0.2879677395470018,0.8221418732782368,0.7670886075949367,0.2169811320754717,0.71875,0.3333333333333333
16,2,0.4198933173673233,0.8910123966942148,0.7544303797468355,0.24,0.9375,0.38216560509554137
16,3,0.2309416853547938,0.7943353994490359,0.6303797468354431,0.1524390243902439,0.78125,0.25510204081632654
16,4,0.4111751728174048,0.8506370523415978,0.7265822784810126,0.203125,0.8125,0.325
16,5,0.2215421068151147,0.7664428374655647,0.7316455696202532,0.16964285714285715,0.59375,0.2638888888888889
17,1,0.3032415380391245,0.8159435261707989,0.7645569620253164,0.20388349514563106,0.65625,0.31111111111111106
17,2,0.26755811312904076,0.8551997245179063,0.7670886075949367,0.22727272727272727,0.78125,0.352112676056338
17,3,0.263030501035487,0.8193009641873278,0.7265822784810126,0.1984126984126984,0.78125,0.31645569620253167
17,4,0.332921389529663,0.8719869146005509,0.8050632911392405,0.25806451612903225,0.75,0.384
17,5,0.3185951348455585,0.7276170798898072,0.7265822784810126,0.16071428571428573,0.5625,0.25000000000000006
18,1,0.3180719702221281,0.8571797520661157,0.7164556962025317,0.19696969696969696,0.8125,0.3170731707317073
18,2,0.31218845131645656,0.8759469696969697,0.7746835443037975,0.23853211009174313,0.8125,0.3687943262411348
